user,location,text
GNB_CZBolivar,Ciudad Guayana,"#15Abr Continuamos velando por el bienestar social en materia de distribución de combustible 
Todo acto de corrupci… https://t.co/F6llQ8ELRI"
KicosisGV,,"Hoy #15ABR a partir de las 5:00 PM sintoniza 
@globovision
@kicobautista conversará con el matemático y analista po… https://t.co/oOI4RO1Efk"
GNB_CZBolivar,Ciudad Guayana,"#15Abr En estos tiempos de cuarentena social, nuestra GNB se mantienen garantizando la PAZ y ratificando su apoyo a… https://t.co/1Yt9FqMNIo"
GNB_CZBolivar,Ciudad Guayana,#15Abr Continuamos garantizando el suministro de combustible en la entidad.Todo acto de corrupción o hecho irregula… https://t.co/cNQCPEwaEn
ElInformadorVE,#Venezuela,#15Abr El Dip. @guillerpalacios denuncia vía #Twitter presuntas irregularidades en E/S en el municipio Morán del… https://t.co/4YY18wM2Je
ContactoCantv,Venezuela,"#15Abr Entérate 📢 Empresario, Emprendedor, afilia el número de cuenta sumaria de tu empresa a nuestros bancos aliad… https://t.co/JA4PH6Vz8Y"
LuisCastro10D,"Táchira, Venezuela","#15Abr Cubriendo el área geográfica de los Concejos Comunales: Prados de Loma Linda, El Cedral, El Pinal y Pan de A… https://t.co/bQi8L2KAib"
TeLoCuentoNews,Latinoamerica,"#15Abr ⚠️ #México A partir del viernes 17 de abril, el uso de tapabocas 😷 será obligatorio para viajar en el Metro… https://t.co/wgnOAUqeRM"
LuisCastro10D,"Táchira, Venezuela","#15Abr Cumplido operativo de despistaje en Pan de Azúcar con la participación del ODDI Capacho Nuevo, Brigada Somos… https://t.co/VemFBeiBco"
Caro_lina713,Venezuela ,"#15Abr Recorrido por la avenida Libertador de San Cristóbal, Táchira, donde se observa poca afluencia de personas y… https://t.co/CpljQrGUP3"
ReporteYa,Venezuela,"#15Abr 📹 Emprendimientos en #cuarentena: Una cauchera móvil recorre la carretera Panamericana. 

Una historia conta… https://t.co/nRzc8Y0uDH"
CHAPITA2010,Venezuela Caracas ,#singasolina #ayuda #sos #ambulancias dios mio hasta cuando por favor #15abr https://t.co/Ky7nqzxFk0
Ibrahimdlopez,Venezuela,"En el Hospital General de Cabimas ""Dr. Adolfo D´Empaire"", los médicos que allí trabajan han permanecido desde el dí… https://t.co/77W9I1ERcM"
ok_2911,,Taiwan alertó a la OMS en DICIEMBRE sobre el coronavirus y estos lo ignoraron. Ahora entienden por qué Trump les pa… https://t.co/N6C5pMRBuA
Czgnb71,Isla de Margarita ,"#15Abr En estos tiempos de cuarentena social, nuestra GNB se mantienen garantizando la PAZ y ratificando su apoyo a… https://t.co/ELMLEWXpPx"
Czgnb71,Isla de Margarita ,"#15Abr Continuamos velando por el bienestar social en materia de distribución de combustible 
Todo acto de corrupci… https://t.co/dGVvT0vrRh"
Czgnb71,Isla de Margarita ,#15Abr Nuestros Centinelas Permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… https://t.co/UzpngYB6vV
contrapuntovzla,,#15Abr Reportan detenciones arbitrarias y deficiente servicio de agua en estados llaneros durante cuarentena… https://t.co/PjhgSURm39
Czgnb71,Isla de Margarita ,"#15Abr Desde la E/S La Casanova, garantizando el suministro de combustible al Sector Salud del Edo. UniónPuebloFANB… https://t.co/WhtdbPRHKF"
GNB_BarinasD331,Barinas,"#15Abr Desde la E/S La Casanova, garantizando el suministro de combustible al Sector Salud del Edo. UniónPuebloFANB… https://t.co/WhflTnNOj3"
descifradocom,CARACAS,Negocios apuestan al delivery para sobrevivir en la cuarentena - Descifrado https://t.co/JnGbWVtydt #15Abr https://t.co/KoAGXH3XNt
GNB_BarinasD331,Barinas,"#15Abr Desde la E/S La Casanova, garantizando el suministro de combustible al Sector Salud del Edo. UniónPuebloFANB… https://t.co/QHl1mGlH3m"
jverajimenez,,"Venezolanos no hay tiempo, es el régimen criminal o somos nosotros. #15Abr"
Acep_Venezuela,Venezuela,"Ciudadanos de los sectores Pinto Salinas I y II, Independencia y Cruz Verde, municipio Independencia, sur de… https://t.co/hzrGUtfVvG"
GNB_BarinasD331,Barinas,#15Abr Nuestros Centinelas Permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… https://t.co/27TZC2acFa
GNB_BarinasD331,Barinas,"#15Abr Continuamos velando por el bienestar social en materia de distribución de combustible 
Todo acto de corrupci… https://t.co/AAVs1QlAfw"
oasistereo1,"La Victoria, Edo Aragua, Venezuela",#ReporteDelClima Via:@INAMEH En la secuencia de imágenes se observa nubosidad convectiva con descargas eléctricas a… https://t.co/UZtIURhppN
