user,location,text,sentiment,probability
GNB_CZBolivar,Ciudad Guayana,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl,Positivo,54
KicosisGV,,hoy twhashtag a partir de las : pm sintoniza twmention conversara con el matematico y analista po… twurl,Positivo,52
GNB_CZBolivar,Ciudad Guayana,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl",Positivo,54
GNB_CZBolivar,Ciudad Guayana,twhashtag continuamos garantizando el suministro de combustible en la entidad.todo acto de corrupcion o hecho irregula… twurl,Positivo,52
ElInformadorVE,#Venezuela,twhashtag el dip. twmention denuncia via twhashtag presuntas irregularidades en e/s en el municipio moran del… twurl,Positivo,51
ContactoCantv,Venezuela,"twhashtag enterate 📢 empresario, emprendedor, afilia el numero de cuenta sumaria de tu empresa a nuestros bancos aliad… twurl",Positivo,52
LuisCastro10D,"Táchira, Venezuela","twhashtag cubriendo el area geografica de los concejos comunales: prados de loma linda, el cedral, el pinal y pan de a… twurl",Neutro,50
TeLoCuentoNews,Latinoamerica,"twhashtag ⚠️ twhashtag a partir del viernes  de abril, el uso de tapabocas 😷 sera obligatorio para viajar en el metro… twurl",Positivo,52
LuisCastro10D,"Táchira, Venezuela","twhashtag cumplido operativo de despistaje en pan de azucar con la participacion del oddi capacho nuevo, brigada somos… twurl",Positivo,52
Caro_lina713,Venezuela ,"twhashtag recorrido por la avenida libertador de san cristobal, tachira, donde se observa poca afluencia de personas y… twurl",Positivo,53
ReporteYa,Venezuela,twhashtag 📹 emprendimientos en twhashtag una cauchera movil recorre la carretera panamericana. una historia conta… twurl,Positivo,52
CHAPITA2010,Venezuela Caracas ,twhashtag twhashtag twhashtag twhashtag dios mio hasta cuando por favor twhashtag twurl,Neutro,50
Ibrahimdlopez,Venezuela,"en el hospital general de cabimas ""dr. adolfo de´empaire"", los medicos que alli trabajan han permanecido desde el di… twurl",Positivo,52
ok_2911,,taiwan alerto a la oms en diciembre sobre el coronavirus y estos lo ignoraron. ahora entienden por que trump les pa… twurl,Positivo,52
Czgnb71,Isla de Margarita ,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl",Positivo,54
Czgnb71,Isla de Margarita ,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl,Positivo,54
Czgnb71,Isla de Margarita ,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl,Positivo,52
contrapuntovzla,,twhashtag reportan detenciones arbitrarias y deficiente servicio de agua en estados llaneros durante cuarentena… twurl,Positivo,51
Czgnb71,Isla de Margarita ,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl",Positivo,51
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl",Positivo,51
descifradocom,CARACAS,negocios apuestan al delivery para sobrevivir en la cuarentena - descifrado twurl twhashtag twurl,Positivo,52
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl",Positivo,51
jverajimenez,,"venezolanos no hay tiempo, es el regimen criminal o somos nosotros. twhashtag",Positivo,55
Acep_Venezuela,Venezuela,"ciudadanos de los sectores pinto salinas i y ii, independencia y cruz verde, municipio independencia, sur de… twurl",Positivo,51
GNB_BarinasD331,Barinas,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl,Positivo,52
GNB_BarinasD331,Barinas,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl,Positivo,54
oasistereo1,"La Victoria, Edo Aragua, Venezuela",twhashtag via:@inameh en la secuencia de imagenes se observa nubosidad convectiva con descargas electricas a… twurl,Positivo,52
GNB_BarinasD331,Barinas,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl",Positivo,54
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl",Positivo,51
GNB_BarinasD331,Barinas,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl,Positivo,52
GNB_BarinasD331,Barinas,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl,Positivo,54
destiario,En la criolla Ola Nazi ▶,"twhashtag cuando se conocio el proyecto televisivo twhashtag protagonizado por twhashtag , pense que podria ver la… twurl",Positivo,52
luisjoserojasl1,"Maturín, Venezuela",twhashtag |📢 ¡la etiqueta del dia! ⏩ twhashtag twhashtag 🥳🎉🎊 twhashtag twurl,Positivo,52
GNB_BarinasD331,Barinas,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl",Positivo,54
joseluisrojasl6,"Maturín, Venezuela",twhashtag |📢 ¡la etiqueta del dia! ⏩ twhashtag twhashtag 🥳🎉🎊 twhashtag twurl,Positivo,52
contrapuntovzla,,twhashtag centro de derechos humanos de la ucab lanzo web sobre situacion de migrantes venezolanos en  paises… twurl,Positivo,52
GNB_BarinasD331,Barinas,twhashtag continuamos garantizando el suministro de combustible en la entidad.todo acto de corrupcion o hecho irregula… twurl,Positivo,52
cambioweb,"Miami, FL",twhashtag | twhashtag | industria lactea nacional opera hasta % de su capacidad. twhashtag twhashtag :… twurl,Positivo,51
