user,location,text
GNB_CZBolivar,Ciudad Guayana,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl
KicosisGV,,hoy twhashtag a partir de las : pm sintoniza twmention conversara con el matematico y analista po… twurl
GNB_CZBolivar,Ciudad Guayana,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl"
GNB_CZBolivar,Ciudad Guayana,twhashtag continuamos garantizando el suministro de combustible en la entidad.todo acto de corrupcion o hecho irregula… twurl
ElInformadorVE,#Venezuela,twhashtag el dip. twmention denuncia via twhashtag presuntas irregularidades en e/s en el municipio moran del… twurl
ContactoCantv,Venezuela,"twhashtag enterate 📢 empresario, emprendedor, afilia el numero de cuenta sumaria de tu empresa a nuestros bancos aliad… twurl"
LuisCastro10D,"Táchira, Venezuela","twhashtag cubriendo el area geografica de los concejos comunales: prados de loma linda, el cedral, el pinal y pan de a… twurl"
TeLoCuentoNews,Latinoamerica,"twhashtag ⚠️ twhashtag a partir del viernes  de abril, el uso de tapabocas 😷 sera obligatorio para viajar en el metro… twurl"
LuisCastro10D,"Táchira, Venezuela","twhashtag cumplido operativo de despistaje en pan de azucar con la participacion del oddi capacho nuevo, brigada somos… twurl"
Caro_lina713,Venezuela ,"twhashtag recorrido por la avenida libertador de san cristobal, tachira, donde se observa poca afluencia de personas y… twurl"
ReporteYa,Venezuela,twhashtag 📹 emprendimientos en twhashtag una cauchera movil recorre la carretera panamericana. una historia conta… twurl
CHAPITA2010,Venezuela Caracas ,twhashtag twhashtag twhashtag twhashtag dios mio hasta cuando por favor twhashtag twurl
Ibrahimdlopez,Venezuela,"en el hospital general de cabimas ""dr. adolfo de´empaire"", los medicos que alli trabajan han permanecido desde el di… twurl"
ok_2911,,taiwan alerto a la oms en diciembre sobre el coronavirus y estos lo ignoraron. ahora entienden por que trump les pa… twurl
Czgnb71,Isla de Margarita ,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl"
Czgnb71,Isla de Margarita ,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl
Czgnb71,Isla de Margarita ,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl
contrapuntovzla,,twhashtag reportan detenciones arbitrarias y deficiente servicio de agua en estados llaneros durante cuarentena… twurl
Czgnb71,Isla de Margarita ,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl"
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl"
descifradocom,CARACAS,negocios apuestan al delivery para sobrevivir en la cuarentena - descifrado twurl twhashtag twurl
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl"
jverajimenez,,"venezolanos no hay tiempo, es el regimen criminal o somos nosotros. twhashtag"
Acep_Venezuela,Venezuela,"ciudadanos de los sectores pinto salinas i y ii, independencia y cruz verde, municipio independencia, sur de… twurl"
GNB_BarinasD331,Barinas,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl
GNB_BarinasD331,Barinas,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl
oasistereo1,"La Victoria, Edo Aragua, Venezuela",twhashtag via:@inameh en la secuencia de imagenes se observa nubosidad convectiva con descargas electricas a… twurl
GNB_BarinasD331,Barinas,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl"
GNB_BarinasD331,Barinas,"twhashtag desde la e/s la casanova, garantizando el suministro de combustible al sector salud del edo. unionpueblofanb… twurl"
GNB_BarinasD331,Barinas,twhashtag nuestros centinelas permanentes de la se mantienen trabajando para garantizar el abastecimiento de combustib… twurl
GNB_BarinasD331,Barinas,twhashtag continuamos velando por el bienestar social en materia de distribucion de combustible todo acto de corrupci… twurl
destiario,En la criolla Ola Nazi ▶,"twhashtag cuando se conocio el proyecto televisivo twhashtag protagonizado por twhashtag , pense que podria ver la… twurl"
luisjoserojasl1,"Maturín, Venezuela",twhashtag |📢 ¡la etiqueta del dia! ⏩ twhashtag twhashtag 🥳🎉🎊 twhashtag twurl
GNB_BarinasD331,Barinas,"twhashtag en estos tiempos de cuarentena social, nuestra gnb se mantienen garantizando la paz y ratificando su apoyo a… twurl"
joseluisrojasl6,"Maturín, Venezuela",twhashtag |📢 ¡la etiqueta del dia! ⏩ twhashtag twhashtag 🥳🎉🎊 twhashtag twurl
contrapuntovzla,,twhashtag centro de derechos humanos de la ucab lanzo web sobre situacion de migrantes venezolanos en  paises… twurl
GNB_BarinasD331,Barinas,twhashtag continuamos garantizando el suministro de combustible en la entidad.todo acto de corrupcion o hecho irregula… twurl
cambioweb,"Miami, FL",twhashtag | twhashtag | industria lactea nacional opera hasta % de su capacidad. twhashtag twhashtag :… twurl
cambioweb,"Miami, FL",twhashtag | twhashtag | industria lactea nacional opera hasta % de su capacidad. twhashtag twhashtag :… twurl
62Dvf,,"twhashtag pensamiento del libertador y padre de la patria grande, simon bolivar. twurl"
laprensalara,"Barquisimeto, Venezuela","twhashtag | china esta ""profundamente preocupada"" por el anuncio del presidente trump de suspender la contribuci… twurl"
ISP_Bolivar,Estado Bolívar,twhashtag este miercoles iniciaron los trabajos para la realizacion del do pozo de agua para brindar este vital liqui… twurl
saidmoanack,"Táchira, Venezuela",ahora :pm ciudadanos residentes del pasaje cumana san cristobal twhashtag agradecen al personal de… twurl
Alconde,"Caracas, Venezuela","en soledad, al sur del estado anzoategui, trataron de disolver la protesta de los ciudadanos con fuerzas antimotine… twurl"
Manuel_23G,"Táchira, Venezuela","desde la pm hay feria de bajones, la v va y viene cada rato. twhashtag"
contrapuntovzla,,twhashtag estas son algunas recomendaciones de eset para el teletrabajo y las videoconferencias en tiempos de cuarente… twurl
ZEPortuguesa,@MPPEDUCACION,twhashtag | twhashtag  estudiante con impedimento motor del aula integrada de twhashtag ana susana ousett en e… twurl
maxiopinion,Mèrida,"buenas tardes, imagen de hoy. etiquetas twhashtag twhashtag twhashtag twhashtag twurl"
lafuerzadchavez,"Barinas, Venezuela","en horas de la mañana tambien visite ciudad tavacare, donde active el pozo # que surte a los sectores a y b de es… twurl"
ACamberoC23,Perú ,twhashtag || twhashtag || dia  de emergencia nacional en twhashtag de  muestras:=  negativas=  ca… twurl
ISP_Bolivar,Estado Bolívar,"twhashtag el twhashtag realizo abordaje de salud en la comunidad indigena de cambalache, pueblo warao, parroquia unare, m… twurl"
ISP_Bolivar,Estado Bolívar,"twhashtag ademas se realizo toma de nuestras de malaria, desnutricion, vacunacion, entrega de medicamentos, de mascari… twurl"
ISP_Bolivar,Estado Bolívar,este miercoles twhashtag iniciaron los trabajos para la realizacion del do pozo de agua para brindar este vital liqui… twurl
amg9847,"Caracas, Venezuela","twhashtag twhashtag twhashtag twhashtag kilometros de la via coro, punto fijo recorre la cola de vehiculos… twurl"
elPeriodicoDM,Maturín Estado Monagas,le cortaron las manos por andar robando en el mercado viejo - twurl twhashtag twhashtag twhashtag twurl
GeorgeArtwell,,twhashtag ay valee y no disque era la refineria de el palito parao que iba a surtir en gasolina a venezue… twurl
BhagavanVasquez,Venezuela,"twhashtag twhashtag twhashtag y demas alrededores, viven hoy lo que muchas otras ciudades del pais se h… twurl"
62Dvf,,"twhashtag tal dia como hoy en , se descubrio el primer campo petrolero ubicado en mene-grande, edo. zulia. twurl"
DannyJMontilla,Venezuela,mega bajon numero.. ya perdi la cuenta.  twhashtag twhashtag
periodistaAM,ASESOR COMUNICACIONAL,: pm. el papa de los bajones electricos acaba de ocurrir a esta hora en twhashtag el numero  del dia. pulsaciones aceleradas. twhashtag
contrapuntovzla,,"twhashtag el consenso para el pago de alquileres debe prevalecer durante la pandemia, recomiendan danelly colmenares y… twurl"
QPEV_,"Caracas, Venezuela",las noticias economicas mas importantes de hoy twhashtag twurl. twurl
TeLoCuentoNewsV,,"twhashtag twhashtag el diputado twmention denuncia un ""nuevo ataque"" contra los periodistas en venezuela. indica que… twurl"
LibretoJunior,Planeta de los Simios,twhashtag el humano es pedir nada que no es la universidad.
gobiernodelara2,,twhashtag gobernadora twmention activo las brigadas comunitarias de produccion y trabajo con la finalidad de me… twurl
ReporteYa,Venezuela,twhashtag twhashtag twhashtag dos medicos fallecieron a causa del twhashtag en twhashtag los decesos tuvieron lu… twurl
TostonPeludo,,atentos📢 | este twhashtag no te despegues de tus redes sociales📲 porque empezara la fiesta del twhashtag las… twurl
infocaquetio,,twhashtag en twhashtag municipio zamora twhashtag fue detenido por twmention alexander jose () por violencia de gen… twurl
NoticiasVao,Venezuela,twhashtag | foro penal (@foropenal) denuncia situacion irregular en twhashtag mas de  presos amotinados se enfren… twurl
contrapuntovzla,,twhashtag fmi proyecta contraccion economica de % para venezuela este  por el coronavirus twurl twurl
VoluntariosxVe,Venezuela,"twhashtag a todo lo anterior, se suma la agudizacion de las fallas en los servicios publicos, agravando el panorama di… twurl"
ExtraVzla,"Caracas, Venezuela",sntp denuncia la detencion del periodista arnaldo sumoza mientras cubria una protesta en guarico twhashtag twurl
VoluntariosxVe,Venezuela,"twhashtag segun la encuesta nacional impacto covid el ,% del pais no esta recibiendo distribucion de combustible… twurl"
62Dvf,,¡feliz dia mundial del arte! a todos los artistas que con sus creaciones contribuyen a construir el mundo nuevo de… twurl
desde5738,"Bogotá, Colombia",twhashtag twhashtag twhashtag twhashtag twhashtag todo es un show de television. twurl
gujosepe,"Venezuela, llevando vergas.",twmention twhashtag twhashtag y toda la directiva mantienen operando ilegalmente la twhashtag twurl
contrapuntovzla,,twhashtag en medio de la pandemia fedenaga alerta dificultades en el sector por falta de combustible… twurl
descifradocom,CARACAS,"jorge rodriguez: ""instalamos un laboratorio de virologia en tachira"" - descifrado twurl twhashtag twurl"
MiamiDiario,"Miami, FL",extendida la prohibicion de alquileres de vacaciones en florida  twhashtag twurl
Analitica,"Caracas, Venezuela","segun el instituto de politicas agricolas de la confederacion de asociaciones de productores agropecuarios (ipaf),… twurl"
venezuelaaldia,Venezuela,"twhashtag | oms: ""naciones que suavicen cuarentena deberian esperar al menos dos semanas""  twurl"
CuradasVE,Venezuela,twhashtag humor en cuarentena – nosabemosparaquees- twurl
latpress,,twhashtag | indocumentados son liberados en ee.uu. por miedo al covid- twurl twurl
GeorgeArtwell,,"twhashtag mas alla de todas la basura conspiracionistaque estoy leyendo sobre bill gates, racionalmente e intuitivamen… twurl"
